id|name|gender
807|Hironobu Sakaguchi|0
808|Paul Schrader|0
809|Carl Franklin|0
811|Howard Deutch|2
812|Richard Rush|2
813|Lewis Teague|2
815|David Drury|2
818|Simon Wells|2
819|Andrew Lau|0
821|Mark Rydell|2
822|Harald Zwart|2
823|Uli Edel|0
826|Irwin Allen|0
827|Hugh Johnson|2
828|Kari Skogland|1
833|David Wain|2
837|Daniel Sackheim|2
839|Liam Lynch|2
840|Colin Nutley|0
845|Herb Freed|2
848|George Bowers|2
850|Frank Oz|2
858|Julien Temple|2
860|Ole Bornedal|2
879|Harold Becker|2
883|Andrew Jarecki|2
884|Costa-Gavras|0
886|Robert Shaye|2
887|Timur Bekmambetov|2
888|Matthew Vaughn|2
889|Penny Marshall|1
890|Maurice Pialat|2
891|Zach Helm|2
892|Ben Sombogaart|2
897|Joe Pytka|2
904|Uwe Boll|2
905|Ben Younger|2
908|Harley Cokeliss|2
910|Phil Alden Robinson|2
911|George Gallo|2
913|Gerard Pires|0
914|Roger Young|2
918|Jia Zhangke|0
920|Mike Binder|2
922|Nigel Cole|2
926|Edouard Molinaro|2
943|Jean-Daniel Verhaeghe|2
944|Frederic Forestier|2
952|Franco Zeffirelli|2
962|James Yukich|2
964|George Seaton|2
965|Roger Christian|2
967|Catherine Hardwicke|1
974|Johnnie To|0
976|Fernando Trueba|0
977|Stefen Fangmeier|0
979|Paul Greengrass|2
980|Jack Clayton|2
981|Hirokazu Koreeda|2
983|James L. Brooks|2
984|John Patrick Shanley|2
986|Amy Holden Jones|1
987|Anand Tucker|2
988|James Orr|2
989|Norman Rene|2
990|Mark L. Lester|2
991|Bonnie Hunt|1
992|Luis Llosa|2
994|Marc Lawrence|2
995|Eric Tsang|2
996|Tsui Hark|2
997|Ringo Lam|2
999|David Slade|2
1000|Gary Ross|2
1002|Ken Finkleman|2
1003|Daniel Myrick|2
1004|Tommy Lee Wallace|2
1005|Hideo Nakata|2
1011|Robert Lieberman|2
1013|Atiq Rahimi|0
1015|Peter Hall|2
1024|John Herzfeld|2
1026|Fons Rademakers|2
1028|Alexander Payne|0
1029|Stephan Elliott|2
1030|Leos Carax|0
1031|J.B. Rogers|0
1032|Shari Springer Berman|1
1034|Paul Flaherty|2
1036|David Twohy|0
1037|Ben Stiller|2
1052|David Zucker|2
1054|Andy Wilson|2
1060|Claude Berri|2
1062|Michael Rymer|2
1065|Takashi Miike|0
1066|Alain Chabat|2
1067|Rand Ravich|2
1075|Michael Radford|2
1076|Hugh Wilson|2
1079|Ken Kwapis|0
1081|Rod Hardy|2
1087|Julian Jarrold|2
1093|Noel Marshall|2
1101|Richard Franklin|2
1102|Stuart Orme|2
1109|Rouben Mamoulian|2
1110|Mikael Hafstrom|0
1112|Charles Jarrott|2
1113|Terence Fisher|2
1119|Marvin J. Chomsky|0
1120|Kenneth Branagh|2
1125|Betty Thomas|1
1126|Phil Karlson|2
1128|King Vidor|2
1129|Lloyd Bacon|2
1130|Leo McCarey|2
1138|Roger Corman|2
1141|Mark Sandrich|2
1145|Michael Caton-Jones|2
1148|Peter Greenaway|2
1149|Valery Todorovsky|2
1150|Jack Smight|2
1161|Terrence Malick|2
1162|Virginie Despentes|0
1167|William Beaudine|2
1174|Jesus Franco|2
1180|Oxide Pang Chun|2
1182|Kinji Fukasaku|2
1185|Fred Olen Ray|2
1201|George Clooney|2
1209|Jeff Burr|2
1211|Steven C. Miller|2
1234|Bruce A. Evans|2
1238|Edgar G. Ulmer|0
1249|Sean Ellis|2
1250|Geoff Murphy|2
1251|Mario Monicelli|0
1253|Ken Russell|2
1257|W.S. Van Dyke|2
1263|Percy Adlon|2
1270|Dominique Othenin-Girard|2
1273|Dennis Dugan|2
1274|Erik Canuel|0
1277|Douglas McGrath|2
1278|Harold S. Bucquet|2
1280|Curtis Bernhardt|0
1281|Tobe Hooper|2
1282|Gary Sherman|0
1286|James Merendino|0
1293|Jim Gillespie|2
1294|Danny Cannon|2
1295|Jonathan King|2
1296|Gillies MacKinnon|2
1298|Scott Hicks|2
1300|Gwen Wetzler|0
1302|Mark Christopher|2
1304|Harald Reinl|2
1317|Charles Vidor|2
1337|Trey Parker|2
1338|Henry Bean|2
1340|Howard Zieff|2
1345|Jeremiah S. Chechik|2
1347|Edmund Goulding|0
1352|Ted Demme|2
1354|Lucy Walker|1
1359|Sajid Khan|2
1361|Billy Ray|2
1363|Coline Serreau|1
1365|Jean-Paul Rappeneau|2
1366|Damiano Damiani|2
1367|Ken Annakin|2
1383|Keenen Ivory Wayans|2
1385|Yash Chopra|2
1386|Aziz Mirza|2
1387|Kunal Kohli|0
1388|Nikhil Advani|0
1389|Malcolm D. Lee|2
1396|Michael Katleman|2
1400|Peter Richardson|0
1408|Rick Rosenthal|0
1412|Joe Wright|2
1413|Peter Berg|2
1414|Gregory Nava|2
1425|Robert Luketic|2
1426|Peter Chelsom|2
1433|Michael Herbig|2
1444|Santosh Sivan|2
1446|Peter Hyams|2
1448|Neil Armfield|2
1457|Henry King|2
1459|Henry Hathaway|0
1462|Rebecca Miller|1
1463|Daniel Vigne|0
1464|Jean-Jacques Beineix|2
1465|Denys Arcand|2
1467|Sean S. Cunningham|2
1472|Luis Garcia Berlanga|2
1474|Bigas Luna|2
1475|Andrew Dominik|2
1476|Patrice Leconte|2
1477|Shekhar Kapur|2
1479|Kevin Lima|2
1490|David Greene|2
1492|F. Gary Gray|2
1494|Brad Anderson|2
1498|Just Jaeckin|2
1499|Michael Patrick King|2
1501|Tony Gilroy|2
1506|Richard Benjamin|2
1507|Nimrod Antal|2
1515|John Flynn|2
1524|Ray Lawrence|2
1529|Arnaud Desplechin|2
1536|Peter Bogdanovich|2
1538|Rene Clement|2
1539|Julien Duvivier|0
1540|Abel Ferrara|2
1551|Ben Affleck|2
1559|Henry Koster|2
1568|Henry Levin|2
1576|Wayne Wang|0
1577|Val Guest|2
1590|Andrew L. Stone|2
1591|David Moreton|0
1593|Gene Kelly|2
1596|David Lowell Rich|2
1597|Anthony Mann|2
1599|Ethan Coen|0
1600|Jacques Deray|0
1602|Gil Junger|2
1605|Charlie Kaufman|2
1608|Judd Apatow|2
1609|Edward Norton|2
1612|John Maybury|2
1614|Satoshi Kon|0
1615|Don Bluth|2
1619|Richard A. Colla|2
1620|Michael Ritchie|2
1622|Samuel Fuller|0
1624|James Cox|2
1625|Ulrich Seidl|2
1626|Daniel Petrie|2
1645|Tony Gatlif|2
1646|Christopher Smith|2
1648|Ivan Dykhovichnyy|2
1653|Ferdinando Baldi|2
1656|Kirsten Sheridan|1
1661|Kerry Conran|2
1663|Nick Love|2
1664|Andrew Fleming|2
1671|Michael Polish|2
1676|Zalman King|0
1677|George Butler|0
1678|Arthur Allan Seidelman|2
1679|Jonathan Kaplan|2
1681|Shane Black|2
1682|Richard Stanley|2
1683|Antonio Margheriti|0
1688|Nick Hurran|2
1692|Rob Sitch|2
1699|Tony Giglio|2
1700|John Boskovich|0
1701|Sanjay Leela Bhansali|2
1702|Martin Donovan|0
1705|Richard Shepard|2
1707|David Dobkin|2
1708|Paul Bolger|2
1709|Pete Travis|0
1721|Graham Baker|2
1722|Sturla Gunnarsson|2
1723|Yuri Kulakov|0
1726|Takashi Yamazaki|0
1733|Jean-Pierre Melville|2
1736|Wesley Ruggles|2
1737|Bryan Foy|2
1746|Christophe Barratier|2
1748|Fred Dekker|2
1750|Steve Hickner|2
1764|Margarethe von Trotta|1
1775|Charles Band|2
1778|James Signorelli|2
1782|David Anspaugh|2
1784|Nathan H. Juran|0
1787|Chuck Workman|2
1789|Anton Corbijn|2
1792|Ramin Bahrani|0
1793|Mike Cahill|0
1794|John Carney|2
1805|Dirk Shafer|2
1808|Joe Swanberg|0
1811|Carl Schenkel|2
1814|Tony Richardson|2
1824|Clark Johnson|2
1825|Melvin Van Peebles|0
1834|Ryuhei Kitamura|2
1836|Tom Dey|2
1837|Luis Mandoki|0
1838|Chris Sivertson|0
1842|Sherry Hormann|1
1848|Shusuke Kaneko|2
1851|John Derek|0
1852|Adam Simon|2
1858|Sean Penn|2
1866|Florian Gallenberger|0
1872|George Ratliff|2
1877|John Hamburg|2
1878|Gene Wilder|2
1880|Alan Gibson|2
1890|Petter Naess|0
1899|Frank Tashlin|2
1902|Dick Lowry|2
1907|Barbet Schroeder|2
1908|Kevin Reynolds|0
1910|Til Schweiger|2
1911|Gela Babluani|0
1916|Gary Nelson|2
1921|Bob Spiers|2
1922|Tim Hunter|2
1944|Anne Fontaine|1
1968|Anthony Hickox|0
1970|Bill Duke|2
1972|David McNally|2
1982|James Foley|2
1998|Arthur Hiller|2
2001|Sergio Corbucci|0
2009|Frederik Du Chau|2
2018|Gael Morel|2
2021|Carl Reiner|2
2022|Marcus Adams|2
2024|Tim Hill|2
2031|Frank Marshall|2
2034|Shuki Levy|2
2040|Jay Chandrasekhar|2
2043|Kasi Lemmons|1
2045|Juan Antonio Bayona|2
2047|Rodman Flender|2
2048|Anne Fletcher|1
2050|Jake Kasdan|2
2058|Takao Okawara|2
2063|Craig Gillespie|0
2065|Mimi Leder|1
2071|Alek Keshishian|2
2072|Byron Haskin|2
2076|Pierre Salvadori|2
2085|Cecil B. DeMille|2
2090|Larry Peerce|2
2094|Marcello Fondato|0
2095|Tibor Takacs|2
2097|Darrell James Roodt|0
2100|Steven Hilliard Stern|0
2102|Lucky McKee|2
2105|Aaron Norris|2
2107|Clare Kilner|1
2114|Greg Beeman|2
2115|Jay Sandrich|2
2117|Patrick Lussier|0
2118|Andrew V. McLaglen|2
